x,y,z,azimuth
1255,1982,-3805,576.58
1290,1910,-3837,559.65
1315,1840,-3885,544.48
1408,1800,-3890,519.67
1453,1710,-3860,496.45
1527,1547,-3860,453.73
1607,1500,-3875,430.28
1612,1378,-3890,405.25
1665,1250,-3922,368.97
1710,1200,-3922,350.59
1752,1073,-3932,314.85
1777,1013,-3912,296.86
1817,923,-3875,269.30
1812,840,-3875,248.71
1827,770,-3895,228.53
1857,660,-3927,195.66
1842,633,-3927,189.65
1872,508,-3932,151.83
1862,448,-3922,135.28
1862,380,-3927,115.35
1852,245,-3907,75.36
1867,163,-3980,49.90
1895,58,-3875,17.53
1812,-45,-3907,3585.77
1857,-115,-3890,3564.56
1802,-232,-3942,3526.64
1757,-242,-3937,3521.58
1782,-357,-3900,3486.71
1730,-415,-3932,3465.11
1700,-520,-3880,3429.92
1670,-565,-3895,3413.08
1622,-702,-3870,3365.97
1607,-712,-3890,3361.04
1532,-797,-3900,3325.15
1522,-845,-3922,3309.61
1483,-955,-3900,3272.20
1428,-1005,-3927,3248.63
1365,-1067,-3852,3219.86
1340,-1187,-3932,3184.65
1243,-1192,-3880,3162.00
1168,-1320,-3890,3115.04
1100,-1360,-3895,3089.67
1020,-1450,-3847,3051.24
953,-1497,-3860,3024.81
850,-1552,-3907,2987.09
795,-1567,-3822,2969.00
683,-1680,-3895,2921.24
550,-1715,-3852,2877.81
530,-1760,-3900,2867.59
448,-1805,-3860,2839.39
378,-1790,-3842,2819.24
315,-1860,-3847,2796.12
233,-1902,-3865,2769.84
120,-1927,-3837,2735.63
50,-1932,-3842,2714.82
-77,-1917,-3795,2677.00
-165,-1977,-3775,2652.29
-272,-1987,-3852,2622.05
-382,-1997,-3795,2591.71
-485,-2017,-3847,2564.80
-517,-1967,-3842,2552.74
-577,-1997,-3795,2538.84
-700,-2007,-3800,2507.72
-767,-1972,-3832,2487.47
-772,-2012,-3800,2490.08
-817,-2002,-3817,2478.00
-827,-1987,-3770,2474.03
-905,-1972,-3812,2453.48
-950,-1977,-3752,2443.34
-975,-1967,-3817,2436.33
-970,-1967,-3780,2437.50
-980,-1982,-3800,2436.90
-1052,-1967,-3742,2418.61
-1067,-1987,-3752,2417.65
-1037,-1927,-3812,2417.13
-1062,-1992,-3727,2419.36
-1047,-1942,-3770,2416.69
-1042,-1977,-3785,2422.08
-1012,-1932,-3757,2423.54
