x,y,z,azimuth
-910,-1987,-3780,2453.93
-970,-1977,-3780,2438.65
-940,-1937,-3795,2441.13
-940,-1962,-3752,2444.01
-945,-1982,-3817,2445.09
-1027,-1992,-3790,2427.26
-930,-1972,-3832,2447.51
-955,-1987,-3795,2443.30
-965,-2007,-3770,2443.21
-1022,-1977,-3790,2426.64
-995,-1987,-3785,2434.00
-1112,-1962,-3747,2404.57
-1150,-1947,-3822,2394.32
-1240,-1922,-3770,2371.71
-1287,-1902,-3757,2359.16
-1372,-1870,-3770,2337.33
-1440,-1860,-3727,2322.53
-1500,-1805,-3795,2302.73
-1522,-1780,-3717,2294.68
-1622,-1710,-3737,2265.13
-1675,-1700,-3742,2254.24
-1715,-1725,-3742,2251.67
-1755,-1710,-3732,2242.56
-1817,-1647,-3775,2221.90
-1887,-1627,-3675,2207.68
-1915,-1552,-3747,2190.23
-1970,-1572,-3717,2185.89
-2012,-1517,-3705,2170.15
-2072,-1507,-3722,2160.29
-2102,-1420,-3727,2140.41
-2185,-1370,-3727,2120.88
-2210,-1305,-3695,2105.62
-2302,-1232,-3690,2081.55
-2347,-1157,-3675,2062.42
-2390,-1067,-3675,2040.58
-2465,-1042,-3732,2029.15
-2485,-995,-3670,2018.21
-2517,-900,-3627,1996.75
-2572,-870,-3657,1986.89
-2592,-782,-3680,1967.88
-2655,-712,-3637,1950.12
-2665,-652,-3680,1937.48
-2745,-570,-3610,1917.31
-2750,-475,-3665,1898.00
-2807,-415,-3647,1884.10
-2792,-347,-3622,1870.85
-2777,-257,-3622,1852.87
-2862,-227,-3575,1845.35
-2812,-125,-3590,1825.45
-2847,-90,-3605,1818.11
-2887,15,-3590,1797.02
-2882,68,-3610,1786.48
-2842,188,-3610,1762.15
-2872,213,-3590,1757.58
-2862,355,-3590,1729.29
-2887,395,-3562,1722.09
-2872,478,-3595,1705.51
-2842,553,-3622,1689.89
-2852,648,-3557,1671.99
-2827,735,-3595,1654.26
-2787,775,-3637,1644.60
-2862,845,-3590,1635.51
-2807,918,-3527,1618.90
-2735,973,-3575,1604.17
-2745,1023,-3552,1595.61
-2695,1125,-3552,1573.42
-2725,1185,-3575,1564.98
-2685,1303,-3575,1541.13
-2645,1285,-3590,1540.88
-2607,1408,-3595,1516.27
-2552,1388,-3590,1514.59
-2522,1500,-3600,1492.57
-2470,1587,-3610,1472.79
-2455,1677,-3570,1456.63
-2415,1730,-3600,1443.84
-2302,1815,-3642,1417.46
-2297,1885,-3570,1406.26
-2225,1927,-3547,1391.05
-2175,1937,-3657,1383.13
-2140,2012,-3700,1367.66
-2092,2072,-3637,1352.75
-2042,2062,-3595,1347.21
-1995,2170,-3610,1325.94
-1950,2145,-3652,1322.74
-1867,2215,-3632,1301.27
-1787,2265,-3627,1282.72
-1670,2305,-3675,1259.24
-1632,2335,-3712,1249.51
-1587,2352,-3622,1240.09
-1547,2432,-3637,1224.61
-1425,2467,-3685,1200.12
-1410,2492,-3637,1195.02
-1297,2547,-3632,1169.86
-1205,2547,-3647,1153.19
-1155,2595,-3705,1139.93
-1097,2565,-3685,1131.55
-1000,2560,-3700,1113.37
-975,2625,-3695,1103.76
-857,2665,-3642,1078.27
-745,2685,-3690,1055.08
-715,2625,-3732,1052.37
-617,2670,-3737,1030.12
-567,2675,-3712,1019.67
-495,2650,-3705,1005.80
-425,2680,-3765,990.11
-395,2680,-3742,983.84
-327,2640,-3737,970.61
-225,2680,-3770,947.99
-185,2650,-3752,939.93
-122,2695,-3785,925.92
-27,2635,-3805,905.87
5,2675,-3727,898.93
80,2580,-3800,882.24
143,2640,-3785,869.00
208,2542,-3770,853.22
325,2542,-3837,827.14
383,2555,-3765,814.75
423,2512,-3800,804.42
498,2497,-3865,787.21
575,2432,-3805,766.98
623,2422,-3832,755.75
638,2362,-3852,748.85
755,2357,-3785,722.39
820,2285,-3827,702.59
888,2285,-3852,687.63
973,2220,-3812,663.33
1050,2132,-3875,637.80
1075,2102,-3870,629.14
1158,1997,-3860,598.92
